year,mlen,ss
1963,68.13690149,73
1964,65.89042297,28
1965,73.44650739,39
1966,73.49398367,53
1967,70.1983214,18
1968,76.71332388,29
1969,79.90812357,38
1970,67.93168938,40
1971,71.25061114,41
1972,61.48619182,26
1973,68.63205365,59
1974,72.48861845,32
1975,66.76205042,38
1976,73.6054062,31
1977,71.84543899,110
1978,71.24566059,135
1979,78.91312369,117
1980,68.99664817,59
1981,63.88671014,41
1982,72.54345122,16
1983,57.14824062,33
1984,66.47263646,33
1985,60.21344252,26
1986,61.63031063,38
1987,57.26578608,19
1988,62.9600215,22
1989,56.46948521,24
1990,52.8000066,23
1991,50.00721474,37
1992,49.97531668,37
1993,51.14248698,31
1994,46.16565821,31
1995,45.05663445,65
1996,45.85366169,41
1997,45.64955258,27
1998,49.76755854,30
1999,42.60621807,37
2000,47.0413312,64
2001,44.36823396,82
2002,47.91131917,68
2003,51.74472287,56
2004,53.60218701,14
2005,57.53959232,24
2006,48.96933034,34
